name	maker	url	extra	description	source
AICR	aicr	https://plugins.jetbrains.com/plugin/32905-aicr	59	Automated AI code review system with knowledge base	jetbrains-marketplace
Azure DevOps AI Reviewer	thegeeky	https://plugins.jetbrains.com/plugin/32239-azure-devops-ai-reviewer	55	AI code review for Azure DevOps PRs in Rider	jetbrains-marketplace
Lattice Agent AI	moorror	https://plugins.jetbrains.com/plugin/32759-lattice-agent-ai	52	AI coding agent built on ProxyAI	jetbrains-marketplace
Claude Subscription ACP Agent	Vanssa	https://plugins.jetbrains.com/plugin/33150-claude-subscription-acp-agent	46	Adds a Claude Subscription agent to JetBrains AI chat	jetbrains-marketplace
Celebrimbot	GiacomoSaccaggi	https://plugins.jetbrains.com/plugin/32055-celebrimbot	37	Full multi-agent AI system that reads, writes, executes	jetbrains-marketplace
Copilot Agent	JetBrains s.r.o.	https://plugins.jetbrains.com/plugin/32938-copilot-agent	35	JetBrains integration providing GitHub Copilot agent functionality	jetbrains-marketplace
Voder	Guoshujiang	https://plugins.jetbrains.com/plugin/30760-voder	34	AI coding assistant with multi-model chat and team agent workflows	jetbrains-marketplace
Raplify	Raplify	https://plugins.jetbrains.com/plugin/33194-raplify	33	GUI for AI coding agents with four tool windows	jetbrains-marketplace
HarmonyOS Dev Assistant	agc-connect	https://plugins.jetbrains.com/plugin/32572-harmonyos-dev-assistant	30	AI coding assistant for HarmonyOS developers	jetbrains-marketplace
Wave Code Chat	Wave 代码智聊	https://plugins.jetbrains.com/plugin/33466-wave-code-chat	29	Enterprise-grade AI coding assistant (Chinese)	jetbrains-marketplace
DeepSeek Harness WebUI	0139	https://plugins.jetbrains.com/plugin/33556-deepseek-harness-webui	29	Docks the DeepSeek Harness agent web UI into an IDE tool window	jetbrains-marketplace
Diffzu	Diffzu	https://plugins.jetbrains.com/plugin/32964-diffzu	27	Reviews large AI-generated diffs by grouping into change-sets	jetbrains-marketplace
Opus Swarm Live	EpochCore	https://plugins.jetbrains.com/plugin/30408-opus-swarm-live	23	52-agent multi-model AI swarm orchestration plugin	jetbrains-marketplace
Local Keep AI	Local Keep AI	https://plugins.jetbrains.com/plugin/33470-local-keep-ai	22	Local-first AI coding assistant with local models	jetbrains-marketplace
betool - AI Code Assistant	beTool IA	https://plugins.jetbrains.com/plugin/31225-betool--ai-code-assistant	21	Bridges AI coding assistants with the IDE via a local server	jetbrains-marketplace
Karate Dojo	Felipe Farias	https://plugins.jetbrains.com/plugin/33029-karate-dojo	21	AI companion for Karate Framework test generation	jetbrains-marketplace
AI Code Reviews	lyreruin	https://plugins.jetbrains.com/plugin/31312-ai-code-reviews	17	Reviews selected commit changes pre-commit	jetbrains-marketplace
xpreiIDE	BABBROS LLP	https://plugins.jetbrains.com/plugin/33142-xpreiide	17	BYO-model AI coding assistant with agentic multi-file coder	jetbrains-marketplace
Llmrix Devtool	llmrix	https://plugins.jetbrains.com/plugin/31463-llmrix-devtool	15	Integrates the Llmrix multi-agent AI platform into JetBrains	jetbrains-marketplace
AI Wrench Agent	JetBrains s.r.o.	https://plugins.jetbrains.com/plugin/28185-ai-wrench-agent	13	JetBrains integration providing AI Wrench agent functionality	jetbrains-marketplace
AlignAI	AlignAI	https://plugins.jetbrains.com/plugin/31709-alignai	11	AI code review driven by rules from CLAUDE.md/AGENTS.md	jetbrains-marketplace
CurdoAI	CurdoAI	https://plugins.jetbrains.com/plugin/33311-curdoai	9	AI coding assistant (蝌蚪AI, Chinese)	jetbrains-marketplace
Just Bruce AI	Just Bruce AI	https://plugins.jetbrains.com/plugin/33525-just-bruce-ai	7	AI-powered coding assistant built into JetBrains IDEs	jetbrains-marketplace
Swades Agent	xerv	https://plugins.jetbrains.com/plugin/33117-swades-agent	6	Autonomous AI software engineering agent ReAct loop in IntelliJ terminal	jetbrains-marketplace
Intellego Grok AI Assistant	Diligite Iustitiam LLC	https://plugins.jetbrains.com/plugin/29268-intellego-grok-ai-assistant	4537	Native Grok for JetBrains with agentic mode via Grok Build CLI	jetbrains-marketplace
Worklink Copilot	yealinkai	https://plugins.jetbrains.com/plugin/24680-worklink-copilot	4992	Yealink modular AI software development system	jetbrains-marketplace
UnitTestBot	UnitTest Bot	https://plugins.jetbrains.com/plugin/19445-unittestbot	11815	Automated unit test generation with ready-to-use test cases	jetbrains-marketplace
